question,label
"internet saya lambat cuma dapet 10mbps",Problem
"Saya mau cek promo yang tersedia hari ini layanan Biznet Home.",Information
"Apakah harga layanan Biznet Home flat?",Information
"cara melakukan ping dan tracert itu bagaimana?",Information
"Apakah Biznet buka lowongan untuk magang?",Information
"Bisa dibantu ping ke google.com?",Request
"Saya gapunya laptop, bisa tolong ping ke google.com?",Request
"Layanan internet saya lambat, boleh diinformasikan penyebab dan solusinya?",Problem
"Layanan internet saya lambat, boleh diinformasikan penyebab dan solusinya?",Problem
"kalo ingin terminasi gimana caranya?",Information
"estimasi layanan jika melakukan terminasi berapa lama?",Information
"Halo Biznet",Information
"Saya ingin mengetahui cara cek IP layanan Biznet home saya.",Information
"Promo saat ini apa aja?",Information
"apakah tidak ada promo 2+1?",Information
"Internet saya untuk bermain game genshin impact ping tinggi, apakah ada solusi?",Problem
"jika ingin mengetahui ip yang saya gunakan bagaimana?",Information
"Boleh diinformasikan paket Gamers ada apa saja?",Information
"reset FUP biasanya dilakukan kapan?",Information
"Saya ada keperluan ganti paket tapi masih panjang masa aktifnya, apakah bisa diproses sekarang?",Request
"jika ada los merah pada modem saya itu kenapa?",Problem
"saya ingin melakukan pembayaran bisa lewat mana saja?",Information
"Saya mau terminasi layanan, bagainmana prosesnya?",Information
"Relokasi apabila tidak tercover bagaimana?",Information
"bisa diinformasikan VA untuk bank yang tersedia?",Information
"Bisa dicek untuk coverage area alamat berikut: Kp. Pada Beunghar, Rt.03/05, Kel.Babakan Pasar, Kec. Bogor tengah, Kota Bogor, 16126",Request
"Internet saya tidak stabil, apakah ada kendala?",Problem
"Apakah kecepatan Internet Biznet Home tetap konstan sepanjang waktu?",Information
"Bisakah saya menggunakan layanan Biznet Home untuk bisnis/perusahaan?",Information
"Apakah Terdapat Garansi pada Perangkat Smart Internet WiFi ?",Information
"Layanan saya terkendala down, estimasi perbaikannya kapan ya?",Problem
"bagaimana cara cek ping dan tracert?",Information
"Latency untuk layanan biznet home normalnya berapa ya?",Information
"Apa yang memengaruhi latency tinggi?",Information
"Apakah ada rekomendasi penggunaan tipe kabel LAN?",Information
"Modem Biznet tipenya apa saja?",Information
"Rekomendasi perangkat tambahan untuk memperluas jangkauan wifi apakah ada?",Information
"Jika tidak tercover alamat saya, biasanya sampai kapan harus menunggu?",Information
"Jangkauan sinyal wifi biznet optimalnya berapa?",Information
"Apakah ada ketentuan untuk berlangganan kembali",Information
"Apakah ada ketentuan untuk rekoneksi layanan yang sudah lama tidak dibayarkan?",Information
"Mengapa layanan biznet Home sering terjadi kendala area?",Problem
"cek jaringan",Request
"karena internet down",Problem
"mau beli add on",Request
"saya mau beli quota",Request
"beli add on",Request
"saya mau beli quota",Request
"mau beli kuota",Request
"mau beli quota",Request
"harga paket 0D",Information
"mau beli quota",Request
